customer_id,postal_address,time
368,"9 John Đường, JaneThị xã, 436002",2025-12-31
369,"988 Vũ Tổ, JaneQuận, 250152",2024-04-26
370,"542 Jane Khu, JaneQuận, 277545",2026-01-16
372,"705 Jane Số, JohnThị xã, 409268",2026-02-13
374,"1 Lê Tổ, JanePhường, 871250",2025-09-04
376,"7 Lê Làng, Quận JohnThị xã, 170528",2025-05-10
377,"34 Dương Số, JaneHuyện, 201222",2024-12-25
378,"275 Jane Số, Thị xã JaneXã, 532016",2026-02-25
380,"35 Jane Dãy, JohnXã, 274624",2025-02-08
381,"0 Trần Tổ, JohnPhường, 151605",2025-10-10
384,"416 Lê Khu, Thành phố JohnXã, 857190",2025-08-21
385,"963 Đặng Số, Huyện JaneThị xã, 312511",2025-03-27
386,"07 Đặng Ngõ, JohnXã, 126101",2026-02-15
387,"823 Hoàng Làng, Quận JaneXã, 978780",2024-08-01
388,"5 John Tổ, JohnHuyện, 823934",2025-04-28
389,"8 John Số, Thị xã JohnThành phố, 269966",2025-05-11
390,"866 Jane Ngõ, JanePhường, 809553",2023-08-22
393,"187 Trần Đường, JohnThành phố, 467476",2025-10-14
397,"10 Jane Số, JaneHuyện, 624681",2025-09-11
398,"426 Dương Khu, Thị xã JaneQuận, 126524",2025-10-17
399,"52 John Dãy, JohnThành phố, 714663",2025-10-19
401,"781 Jane Đường, Quận JohnThành phố, 539953",2025-10-19
402,"2 Mai Đường, JanePhường, 802169",2022-11-23
405,"590 John Làng, JaneThành phố, 859459",2026-02-17
407,"47 Trần Dãy, JaneHuyện, 909889",2025-07-30
408,"6 Vũ Làng, JaneThành phố, 638205",2025-09-13
409,"9 Jane Ngõ, JohnQuận, 541878",2024-08-23
411,"34 Hoàng Tổ, JaneHuyện, 142078",2026-03-04
413,"501 Lê Tổ, JaneQuận, 582961",2022-11-10
414,"13 Jane Đường, JohnHuyện, 204766",2024-05-24
415,"625 Jane Tổ, JaneXã, 512982",2025-08-13
417,"2 Lê Khu, JanePhường, 961169",2025-10-31
418,"252 Dương Đường, JaneThị xã, 908829",2023-05-28
419,"5 Trần Hẻm, JanePhường, 183895",2024-03-30
421,"65 Nguyễn Khu, Huyện JaneThị xã, 118369",2024-04-03
424,"1 Mai Ngõ, JaneThị xã, 520205",2023-03-30
425,"Huyện JaneXã, 0 Hoàng Dãy, 325663",2026-02-25
427,"305 John Khu, JanePhường, 724144",2024-01-27
428,"773 Jane Khu, JohnPhường, 993692",2025-02-25
429,"45 Dương Đường, Quận JaneXã, 552492",2024-01-17
430,"JohnThị xã, 633 Jane Hẻm, 266846",2025-12-24
431,"4 Đặng Ngõ, JaneQuận, 523589",2026-03-03
432,"21 Hoàng Số, JaneQuận, 767331",2024-02-12
434,"735 Jane Ngõ, Quận JaneThị xã, 356950",2025-08-27
436,"16 Mai Ngõ, Thị xã JanePhường, 162690",2025-12-10
437,"2 Bùi Tổ, Quận JaneQuận, 377356",2024-01-11
438,"4 Hoàng Đường, Quận JaneThành phố, 331757",2026-01-11
439,"74 John Hẻm, JaneHuyện, 767693",2024-11-07
442,"1 Phạm Khu, Quận JohnHuyện, 738206",2026-02-19
443,"8 John Tổ, Thị xã JohnHuyện, 632064",2025-05-31
445,"1 Jane Đường, Quận JohnXã, 898679",2025-08-13
447,"739 Nguyễn Khu, JaneThị xã, 761785",2023-07-23
448,"705 Dương Hẻm, Thành phố JanePhường, 419439",2024-06-01
449,"484 Mai Dãy, Huyện JohnXã, 804524",2025-09-25
450,"7 Vũ Làng, JaneHuyện, 488802",2023-04-25
451,"06 Jane Tổ, Thị xã JaneThành phố, 958294",2025-05-31
452,"987 Trần Ngõ, Quận JanePhường, 602983",2026-01-06
453,"5 Mai Tổ, JaneThành phố, 594761",2024-10-15
455,"0 John Tổ, JanePhường, 325247",2024-05-14
456,"90 John Số, JaneThị xã, 936865",2024-03-05
458,"7 John Số, JaneThị xã, 874831",2024-12-16
460,"39 Mai Dãy, Huyện JohnQuận, 910540",2024-12-01
461,"851 Đặng Làng, Quận JaneQuận, 544893",2026-03-05
462,"607 Jane Đường, JaneThị xã, 308286",2023-10-06
466,"04 Nguyễn Hẻm, Quận JohnQuận, 643814",2025-09-19
467,"96 Jane Hẻm, Quận JohnHuyện, 214705",2025-12-09
468,"5 John Tổ, Thị xã JohnPhường, 251352",2025-11-12
469,"776 Lê Đường, JaneThị xã, 369338",2022-11-15
471,"91 John Khu, Huyện JanePhường, 584598",2025-12-10
474,"37 Mai Dãy, Huyện JaneHuyện, 295370",2023-12-06
476,"4 Jane Khu, JaneXã, 186997",2026-01-26
477,"358 John Tổ, Quận JaneQuận, 205002",2026-03-01
478,"86 Dương Tổ, Huyện JohnThành phố, 363537",2025-10-10
479,"362 Bùi Làng, Huyện JohnQuận, 389635",2025-01-22
480,"9 Phạm Dãy, JohnXã, 878999",2025-04-07
481,"769 Jane Khu, Thành phố JohnPhường, 732622",2026-01-24
485,"1 John Tổ, JanePhường, 880465",2025-05-10
486,"514 Nguyễn Dãy, JanePhường, 460762",2025-04-14
487,"6 Lê Dãy, Huyện JaneXã, 664380",2026-03-01
488,"6 Hoàng Dãy, Thị xã JohnHuyện, 997555",2026-01-03
489,"948 Mai Hẻm, JohnQuận, 197898",2023-11-02
491,"JohnThị xã, 824 Jane Làng, 973723",2026-02-23
492,"097 Bùi Làng, JohnXã, 709113",2024-04-28
493,"55 Jane Tổ, Quận JanePhường, 358888",2025-11-08
494,"49 Jane Dãy, JaneThành phố, 279664",2024-07-20
496,"39 Lê Tổ, Thành phố JaneXã, 225497",2025-12-12
497,"922 Jane Ngõ, JohnThành phố, 523158",2024-08-13
499,"351 Dương Ngõ, JohnXã, 163859",2026-02-21
500,"Thành phố JaneThị xã, 995 John Làng, 767399",2024-10-09
501,"28 Jane Đường, Thành phố JaneHuyện, 213010",2024-01-26
502,"86 Trần Ngõ, JohnHuyện, 248249",2023-09-15
503,"9 John Tổ, JohnHuyện, 435876",2025-07-27
506,"35 Jane Hẻm, JohnQuận, 203442",2024-06-08
507,"1 Nguyễn Làng, JohnThị xã, 966723",2023-09-08
508,"460 Bùi Số, JohnThị xã, 365735",2026-01-25
509,"112 Trần Hẻm, JohnPhường, 368958",2026-02-18
510,"163 Jane Làng, Thành phố JaneThị xã, 214655",2025-03-09
512,"509 John Tổ, JohnHuyện, 584479",2023-06-17
513,"357 Jane Ngõ, Huyện JohnQuận, 673700",2026-02-24
514,"5 Nguyễn Hẻm, Quận JohnThị xã, 103587",2024-07-19
515,"796 Hoàng Số, JohnPhường, 614391",2025-11-29
517,"25 Jane Số, JanePhường, 574283",2024-05-12
521,"3 Hoàng Hẻm, JohnPhường, 521398",2026-01-05
522,"1 John Đường, Thành phố JaneThành phố, 428512",2026-02-23
524,"261 Lê Dãy, JohnThành phố, 796117",2026-01-29
528,"JanePhường, 97 Jane Hẻm, 482956",2026-02-24
529,"344 Bùi Tổ, Huyện JanePhường, 184142",2024-01-17
531,"52 Vũ Làng, JaneHuyện, 187352",2026-01-06
538,"28 John Ngõ, Quận JaneQuận, 270313",2025-06-29
539,"0 Vũ Hẻm, Thành phố JohnThị xã, 460944",2026-02-19
540,"Huyện JanePhường, 4 Dương Tổ, 878245",2025-06-28
542,"22 Bùi Đường, Huyện JanePhường, 256640",2024-08-23
544,"62 Nguyễn Tổ, Thành phố JanePhường, 599856",2025-01-20
545,"2 Vũ Số, Quận JaneHuyện, 859962",2024-01-18
547,"5 John Tổ, Quận JohnThị xã, 690660",2024-08-07
551,"3 Phạm Số, JohnHuyện, 373665",2023-11-20
553,"29 Jane Đường, Thành phố JaneXã, 600277",2026-03-08
555,"0 Jane Ngõ, Quận JohnThành phố, 648175",2025-05-26
556,"6 Lê Ngõ, Thị xã JohnThành phố, 899816",2026-02-05
557,"285 Bùi Số, Huyện JaneThành phố, 802170",2025-05-10
558,"970 Trần Tổ, Thị xã JohnQuận, 662277",2023-11-17
559,"394 Phạm Tổ, JaneThành phố, 782059",2025-02-19
560,"3 Jane Làng, JaneThị xã, 157008",2024-10-31
561,"253 Bùi Tổ, JaneXã, 890478",2023-08-18
562,"900 Nguyễn Khu, JanePhường, 695707",2026-02-14
564,"31 Jane Hẻm, Thành phố JohnPhường, 346208",2024-09-01
566,"20 John Khu, JaneQuận, 940896",2025-04-03
568,"2 Đặng Hẻm, JaneThị xã, 282413",2025-12-03
569,"61 Lê Tổ, JaneThị xã, 890315",2025-01-15
570,"6 Jane Ngõ, Thành phố JohnHuyện, 677187",2025-10-09
573,"1 John Đường, Huyện JohnQuận, 294735",2026-03-07
574,"65 Jane Số, JohnPhường, 615200",2026-03-04
575,"7 Jane Đường, JohnThị xã, 364405",2025-04-15
576,"961 John Đường, JohnXã, 290036",2024-03-25
577,"049 Bùi Ngõ, Thành phố JohnThị xã, 609867",2025-04-16
579,"75 Nguyễn Tổ, Thị xã JaneThành phố, 392450",2024-06-17
580,"021 John Dãy, JaneThị xã, 170064",2026-03-02
582,"8 Jane Hẻm, JohnThị xã, 940145",2024-04-13
587,"16 Jane Ngõ, Quận JohnHuyện, 390863",2026-01-29
588,"7 Hoàng Hẻm, JaneThành phố, 825010",2025-02-08
589,"8 Jane Tổ, Quận JaneHuyện, 301165",2025-09-28
591,"798 John Khu, Quận JaneQuận, 778929",2025-07-18
593,"9 Phạm Khu, Thị xã JaneXã, 213329",2024-08-19
594,"141 Lê Ngõ, JohnThành phố, 792371",2025-02-19
595,"5 John Đường, JohnQuận, 944848",2026-01-25
596,"11 Jane Làng, Thị xã JohnQuận, 331044",2024-06-03
600,"43 Phạm Số, JohnPhường, 690672",2023-05-31
602,"398 John Số, JohnQuận, 194343",2025-11-16
604,"1 John Đường, Huyện JaneThị xã, 276083",2025-10-07
607,"207 John Làng, JaneThị xã, 357728",2025-09-09
609,"8 Hoàng Số, JaneQuận, 627593",2025-10-17
610,"05 Phạm Đường, Thị xã JohnThị xã, 719110",2025-06-20
611,"37 Jane Đường, Quận JohnHuyện, 492204",2025-04-01
617,"4 John Làng, Thị xã JaneThị xã, 330935",2024-07-15
618,"89 Phạm Đường, Quận JohnHuyện, 862564",2024-10-03
621,"944 John Làng, Quận JaneQuận, 203386",2025-04-30
622,"329 Trần Tổ, Thị xã JaneThị xã, 261528",2025-01-16
623,"93 Bùi Làng, JohnXã, 943610",2026-02-16
627,"4 Jane Hẻm, Thị xã JaneQuận, 774720",2025-10-29
629,"109 John Ngõ, JohnQuận, 857878",2023-10-28
631,"27 Bùi Tổ, JohnHuyện, 881484",2026-02-09
633,"32 Nguyễn Đường, JaneXã, 491143",2026-03-03
635,"7 Jane Tổ, Thị xã JohnThị xã, 969849",2026-03-13
636,"9 Bùi Khu, Quận JohnQuận, 961412",2026-01-16
637,"8 Trần Làng, JaneQuận, 671540",2025-05-15
638,"242 Vũ Số, Thị xã JohnPhường, 271869",2023-09-06
642,"225 John Dãy, JohnHuyện, 994966",2024-08-14
644,"7 Đặng Tổ, Thành phố JohnThị xã, 297216",2025-04-19
646,"5 Jane Số, JohnThành phố, 157580",2026-02-06
647,"851 Vũ Khu, JohnThành phố, 399006",2025-04-19
648,"51 John Ngõ, Thành phố JaneHuyện, 982342",2025-12-03
649,"4 Jane Đường, JaneThành phố, 789855",2025-07-18
650,"756 Jane Hẻm, Thành phố JaneQuận, 294122",2025-11-01
651,"08 Hoàng Làng, JohnThành phố, 550597",2024-11-02
654,"3 John Làng, Thành phố JohnPhường, 513892",2023-02-17
655,"0 Trần Tổ, Thị xã JohnQuận, 859498",2025-02-05
658,"614 Jane Khu, Thị xã JohnThị xã, 923861",2025-04-03
659,"64 Jane Làng, JohnThành phố, 918946",2023-05-04
660,"1 Mai Khu, JohnThành phố, 694706",2026-02-10
661,"7 John Đường, JaneXã, 457875",2022-08-19
662,"679 John Tổ, Huyện JaneThị xã, 895792",2023-10-02
663,"768 John Dãy, Quận JohnQuận, 488892",2023-10-17
666,"4 Jane Tổ, JaneXã, 829744",2025-01-20
667,"023 John Hẻm, JaneThành phố, 793802",2025-08-16
668,"6 John Hẻm, JaneThành phố, 279699",2025-03-30
669,"16 John Khu, JaneQuận, 969034",2026-03-13
670,"54 John Làng, JaneThị xã, 910085",2025-05-01
671,"92 John Làng, Quận JohnXã, 999996",2026-01-31
672,"58 John Đường, JaneQuận, 246499",2026-02-09
675,"9 John Làng, JohnThị xã, 921716",2026-02-08
677,"182 Vũ Dãy, Quận JohnHuyện, 625772",2025-02-28
679,"584 Jane Số, Quận JaneQuận, 936449",2023-04-15
680,"6 John Dãy, Thị xã JohnQuận, 530108",2024-12-20
681,"104 John Số, JohnXã, 655000",2025-10-18
683,"2 Bùi Khu, Thành phố JohnThị xã, 893226",2025-11-18
684,"6 Jane Tổ, JohnQuận, 522868",2025-08-31
685,"1 Bùi Khu, JaneHuyện, 637898",2025-09-22
686,"52 Hoàng Đường, JohnHuyện, 820190",2025-12-07
690,"Thị xã JohnPhường, 987 Bùi Ngõ, 584141",2026-01-27
691,"829 John Số, JanePhường, 836979",2025-11-30
693,"843 Jane Dãy, JohnXã, 246059",2025-08-10
694,"404 Jane Đường, JohnHuyện, 349192",2024-12-30
696,"66 John Số, Thị xã JohnHuyện, 881358",2025-09-18
697,"76 John Khu, JohnThành phố, 353860",2026-01-25
698,"03 Jane Ngõ, Thành phố JaneThị xã, 824679",2025-08-27
701,"842 Hoàng Số, Quận JaneXã, 207944",2024-06-09
702,"312 Jane Hẻm, JaneXã, 687043",2026-03-01
703,"7 John Khu, Quận JanePhường, 794727",2024-09-11
704,"561 Jane Tổ, Quận JaneXã, 900173",2024-07-24
705,"876 John Làng, JaneThành phố, 364168",2025-12-30
706,"4 John Hẻm, JohnThành phố, 106829",2025-11-26
707,"5 John Ngõ, JohnXã, 779776",2024-10-18
708,"839 Bùi Hẻm, Huyện JohnPhường, 393391",2024-02-20
709,"7 Jane Số, Quận JaneThành phố, 682446",2026-02-12
713,"2 Jane Ngõ, Thị xã JohnXã, 802160",2023-09-08
714,"8 Vũ Khu, Quận JaneThành phố, 247693",2025-11-29
715,"678 John Dãy, JohnQuận, 178830",2023-06-01
717,"638 John Hẻm, JaneThành phố, 454912",2025-12-26
718,"17 Nguyễn Số, JohnThị xã, 643453",2025-12-24
719,"5 Lê Ngõ, JaneThành phố, 915044",2023-12-06
